voter_id,age,ip_address,device_id,login_attempts,vote_duration_sec,location_match,previous_votes,is_fraud
V1390,53,192.168.3.150,DV1393,2,116,0,1,1
V0702,51,192.168.2.78,DV1010,1,69,0,2,1
V1141,75,192.168.10.115,DV1152,6,14,1,3,1
V0478,57,192.168.4.33,DV1181,1,92,1,0,0
V0207,28,192.168.8.166,DV1176,1,34,1,3,1
V0903,20,192.168.7.21,DV1006,1,25,0,2,1
V1763,54,192.168.3.88,DV1716,5,14,0,2,1
V1154,70,192.168.10.60,DV1935,1,37,0,1,1
V1032,70,192.168.4.221,DV1603,1,65,1,0,0
V0984,19,192.168.8.56,DV1732,4,39,0,0,1
V0087,39,192.168.9.156,DV1986,2,102,0,2,1
V2071,58,192.168.6.254,DV1891,3,54,1,0,0
V1181,60,192.168.8.204,DV1242,2,102,1,0,0
V1729,30,192.168.8.118,DV1338,2,10,1,1,1
V1289,39,192.168.7.1,DV1099,2,102,1,3,1
V2293,23,192.168.0.116,DV1192,1,76,1,0,0
V0710,31,192.168.4.69,DV1128,8,96,0,1,1
V2617,35,192.168.4.102,DV1491,3,99,1,0,0
V1616,78,192.168.4.168,DV1030,1,46,1,2,1
V1058,34,192.168.8.11,DV1594,3,36,0,3,1
V2331,49,192.168.10.239,DV1569,3,83,1,0,0
V2396,69,192.168.10.83,DV1231,1,115,1,0,0
V0424,24,192.168.3.127,DV1395,2,33,1,0,0
V1481,30,192.168.0.56,DV1763,4,56,0,3,1
V1443,47,192.168.6.239,DV1160,5,14,1,1,1
V1351,85,192.168.5.180,DV1585,5,73,1,0,1
V0572,35,192.168.6.28,DV1260,4,27,0,3,1
V1929,36,192.168.7.211,DV1164,4,53,0,3,1
V1781,65,192.168.5.88,DV1513,1,81,1,0,0
V1650,20,192.168.10.217,DV1878,6,72,0,1,1
V0567,22,192.168.8.141,DV1000,2,104,1,1,1
V0998,21,192.168.1.189,DV1054,2,66,0,1,1
V2396,69,192.168.10.83,DV1231,1,115,1,0,0
V1198,63,192.168.0.143,DV1117,3,40,1,1,1
V0585,25,192.168.4.53,DV1771,1,48,1,0,0
V1181,60,192.168.8.204,DV1242,2,102,1,0,0
V0203,25,192.168.5.130,DV1075,5,62,1,0,1
V0424,24,192.168.3.127,DV1395,2,33,1,0,0
V2617,35,192.168.4.102,DV1491,3,99,1,0,0
V0222,54,192.168.1.196,DV1164,5,60,0,3,1
V1347,27,192.168.4.32,DV1544,2,90,1,0,0
V1410,90,192.168.7.242,DV1746,3,85,1,0,0
V1338,64,192.168.8.44,DV1433,1,34,1,0,0
V2305,30,192.168.6.193,DV1953,1,42,1,0,0
V0822,30,192.168.8.174,DV1135,4,95,0,3,1
V1464,82,192.168.7.68,DV1898,1,82,0,1,1
V1212,72,192.168.6.147,DV1160,6,35,0,1,1
V1179,26,192.168.10.161,DV1099,1,64,1,0,0
V0665,74,192.168.6.145,DV1495,4,99,1,3,1
V0595,71,192.168.8.138,DV1413,2,47,0,1,1
V1733,45,192.168.4.46,DV1269,2,19,1,2,1
V1078,52,192.168.9.154,DV1433,2,99,1,2,1
V1637,86,192.168.0.170,DV1312,1,72,1,0,0
V0036,67,192.168.4.238,DV1802,8,39,1,3,1
V0050,88,192.168.2.111,DV1130,1,42,1,0,0
V1177,18,192.168.6.50,DV1342,2,115,0,1,1
V0121,60,192.168.5.172,DV1107,3,45,1,3,1
V1449,42,192.168.8.52,DV1653,1,33,1,0,0
V1745,53,192.168.10.123,DV1407,1,92,1,2,1
V2016,90,192.168.0.209,DV1396,2,112,0,0,1
V2973,45,192.168.7.105,DV1921,2,67,1,0,0
V0888,25,192.168.10.246,DV1662,2,49,1,0,0
V0449,28,192.168.9.25,DV1517,3,84,1,0,0
V2351,39,192.168.5.9,DV1545,3,90,1,0,0
V1594,76,192.168.1.145,DV1398,1,77,1,0,0
V0496,30,192.168.1.172,DV1352,7,99,0,0,1
V1024,48,192.168.1.39,DV1196,1,34,1,3,1
V1070,59,192.168.2.8,DV1083,8,109,1,3,1
V0139,86,192.168.6.245,DV1324,8,114,0,0,1
V2802,83,192.168.8.163,DV1907,1,71,1,0,0
V1868,59,192.168.6.203,DV1391,6,74,0,1,1
V0423,44,192.168.8.156,DV1521,4,98,1,2,1
V1872,61,192.168.4.138,DV1378,8,39,0,3,1
V1119,84,192.168.4.108,DV1411,5,95,1,2,1
V2340,65,192.168.1.10,DV1262,1,120,1,0,0
V0558,66,192.168.5.157,DV1029,3,64,1,0,0
V0215,46,192.168.2.40,DV1079,5,111,0,0,1
V1638,61,192.168.4.208,DV1771,4,99,0,2,1
V0805,85,192.168.1.124,DV1741,5,57,1,2,1
V1423,33,192.168.5.237,DV1946,2,117,0,1,1
V1805,53,192.168.4.119,DV1613,6,15,0,1,1
V0037,37,192.168.3.76,DV1222,1,77,0,2,1
V1183,58,192.168.1.201,DV1130,1,120,1,0,0
V0194,27,192.168.6.221,DV1759,1,58,0,3,1
V1250,74,192.168.0.215,DV1650,2,52,1,3,1
V1748,37,192.168.2.223,DV1871,3,13,1,0,0
V1889,26,192.168.5.223,DV1322,4,87,0,1,1
V1564,42,192.168.6.164,DV1110,5,115,1,1,1
V1783,29,192.168.5.99,DV1669,3,57,0,2,1
V0458,30,192.168.7.27,DV1823,3,18,0,0,1
V1637,86,192.168.0.170,DV1312,1,72,1,0,0
V0562,89,192.168.9.14,DV1011,3,67,1,3,1
V0129,71,192.168.7.251,DV1483,4,61,0,3,1
V0298,68,192.168.7.48,DV1959,5,115,0,0,1
V1902,71,192.168.2.45,DV1958,3,97,0,2,1
V2565,38,192.168.10.162,DV1657,1,31,1,0,0
V0450,90,192.168.0.112,DV1678,3,33,1,2,1
V1960,71,192.168.8.142,DV1581,4,55,0,3,1
V0035,79,192.168.3.222,DV1410,1,24,1,0,0
V0513,53,192.168.5.211,DV1475,7,84,0,0,1
V0227,75,192.168.9.2,DV1927,2,5,1,1,1
V1913,72,192.168.5.170,DV1148,1,98,1,0,0
V1900,90,192.168.0.33,DV1531,3,20,1,0,0
V0503,71,192.168.2.38,DV1580,2,16,0,2,1
V0742,75,192.168.7.246,DV1406,1,95,0,2,1
V2340,65,192.168.1.10,DV1262,1,120,1,0,0
V0223,29,192.168.3.210,DV1461,6,6,1,0,1
V1913,72,192.168.5.170,DV1148,1,98,1,0,0
V1608,44,192.168.0.208,DV1143,1,49,1,0,0
V1106,73,192.168.1.159,DV1232,2,74,0,3,1
V0855,48,192.168.8.69,DV1420,6,7,0,3,1
V1693,49,192.168.10.109,DV1118,3,62,1,0,0
V1832,70,192.168.10.87,DV1145,4,104,1,1,1
V1940,73,192.168.10.69,DV1106,8,74,1,3,1
V0613,50,192.168.3.30,DV1185,1,111,1,0,0
V1472,78,192.168.3.14,DV1216,1,100,1,2,1
V0840,87,192.168.3.45,DV1678,2,97,1,0,0
V2340,65,192.168.1.10,DV1262,1,120,1,0,0
V0605,67,192.168.7.162,DV1414,7,43,0,3,1
V0506,68,192.168.5.177,DV1243,1,98,1,2,1
V0106,19,192.168.9.73,DV1480,8,59,1,1,1
V1557,18,192.168.7.224,DV1253,8,17,0,0,1
V0838,70,192.168.3.159,DV1249,3,64,1,0,0
V1184,56,192.168.9.161,DV1442,2,16,0,0,1
V1810,28,192.168.3.192,DV1542,6,41,1,2,1
V1172,34,192.168.4.239,DV1583,4,115,1,1,1
V0079,80,192.168.3.70,DV1446,8,6,1,2,1
V0487,27,192.168.8.242,DV1919,2,46,1,0,0
V0801,38,192.168.10.73,DV1625,3,61,1,0,0
V2949,27,192.168.5.170,DV1265,1,85,1,0,0
V0853,76,192.168.9.239,DV1435,3,61,1,3,1
V1293,31,192.168.10.43,DV1081,5,13,1,0,1
V1817,69,192.168.7.194,DV1475,5,108,1,1,1
V0842,26,192.168.9.28,DV1701,7,44,1,0,1
V0105,23,192.168.0.142,DV1299,3,84,1,0,0
V1581,49,192.168.9.132,DV1382,3,82,1,0,0
V0767,80,192.168.9.137,DV1090,3,28,1,0,0
V0516,21,192.168.6.13,DV1166,4,112,0,1,1
V0059,58,192.168.6.156,DV1523,2,52,0,2,1
V1520,19,192.168.5.177,DV1011,6,30,1,2,1
V0461,60,192.168.1.11,DV1964,8,9,0,3,1
V0756,27,192.168.4.199,DV1440,6,90,0,0,1
V1048,51,192.168.2.23,DV1981,6,24,0,0,1
